"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"208","합계","은평구","응암2동",1002,567,435,28016,0.0357652769845802
"215","합계","은평구","응암3동",1344,764,580,24313,0.0552790688109242
"211","합계","은평구","증산동",826,479,347,18647,0.0442966697055827
"213","합계","은평구","진관동",1959,1120,839,55034,0.03559617690882
"9","합계","종로구","가회동",174,92,82,4065,0.0428044280442804
"8","합계","종로구","교남동",347,191,156,9994,0.0347208324994997
"7","합계","종로구","무악동",325,179,146,8052,0.0403626428216592
"5","합계","종로구","부암동",311,181,130,9536,0.032613255033557
"3","합계","종로구","사직동",267,150,117,9355,0.0285408872260823
"4","합계","종로구","삼청동",110,61,49,2642,0.0416351249053747
"2","합계","종로구","소계",5834,3364,2470,152211,0.0383283731136383
"16","합계","종로구","숭인1동",300,154,146,6057,0.0495294700346706
"17","합계","종로구","숭인2동",421,263,158,10509,0.0400609001807974
